indice_tiempo,total_sistema,total_sectores_productores_bienes,agricultura_ganaderia_caza_silvicultura,pesca_servicios_conexos,explotacion_minas_canteras,total_industria_manufacturera,alimentos_bebidas_tabaco,textiles_cuero,madera_papel_imprenta_editoriales,derivados_petroleo_quimicos,metalicas_basicas_productos_metalicos,material_transporte,maquinarias_equipos,otras_industrias,suministro_electricidad_gas_agua,construccion,total_sectores_productores_servicios,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_defensa_orgs_organos_extraterritoriales,servicios_sociales_ensenianza_saludos_privados,otras_actividades_servicios_comunitarios_sociales_personales,sin_clasificar,sector_privado
2006-01-01,1783.8185316050617,1948.5445102278336,993.6505704823064,4140.0,5341.018438776156,2204.2145648878263,2047.5240716765015,1477.7732592325517,1981.3823766531218,3289.6452855853777,2242.8374151222342,2790.032727983616,2127.764973131836,1822.210803695247,3445.5396069014705,1328.75,1718.7893020791994,1490.3440664633736,1145.0978565905662,2275.516169256134,3333.923691860528,1521.4624542859838,2032.5554871406553,1201.8533751167915,1512.4261415666087,827.5,1731.2265801873893
2007-01-01,2175.448726430672,2369.9895781803407,1206.3873555852726,4478.0,6574.493509720633,2663.424405115036,2482.640120050741,1763.1695943364975,2375.7044492477635,3906.6494726947994,2740.7433651657307,3418.523528389377,2604.38670592601,2213.509147414521,4207.183163002842,1695.5,2097.966302649541,1798.7328634702053,1369.381935506327,2749.768736781797,3961.550835673719,1815.5199966615041,2570.149716269143,1476.247702816625,1811.2351588811575,1013.7401963473767,2093.812675069132
2008-01-01,2805.7230304268905,3056.950390530784,1594.2021847157168,4828.5,8813.726286346398,3380.9890944876634,3162.989596425003,2229.1439230556034,2988.537507133577,4872.344639001737,3463.4120785500218,4360.669411434223,3345.0657933631464,2839.7293083810323,5425.740156439736,2253.25,2706.465129582031,2334.0558219562904,1739.0573228980015,3497.8011702684266,5123.456631782842,2353.1251643704345,3321.8699145525547,1928.773699029454,2271.734628583363,1401.0,2697.0549251456114
2009-01-01,3395.009764390129,3661.407608804456,1891.2333674365711,5116.75,10933.886471061665,4028.4559075160346,3867.428803274027,2605.9006682518693,3585.4540659993672,5871.752848880236,3984.866137326527,5029.360070504019,3924.405269721451,3342.868719533736,6918.998117791627,2656.25,3293.3949252131515,2797.5008611329367,2072.2245266417185,4289.670425222145,6402.024629283171,2839.8238277787905,3989.75,2392.9090013979717,2904.403160531717,1938.75,3260.3872047266036
2010-01-01,4231.832033186126,4701.591522548508,2438.1394526781705,6255.75,13765.102472828197,5219.418074282576,4966.737035752538,3406.7007374243735,4521.7060549888465,7338.352612658404,5240.56867359965,6893.79565092202,5288.492571658218,4323.705504598394,8553.219082395066,3279.25,4055.480704657067,3538.7870889853775,2564.08337495882,5440.095810139663,7953.3527912484915,3546.2493434937182,4738.5,2904.7442166800392,3647.4888762203573,2660.5,4113.265885735183
2011-01-01,5573.715447114761,6304.388339491421,3198.3124396364055,7718.0,18210.541055154543,6847.210571206795,6534.691822147413,4491.295836622414,5929.995083354857,9485.881079010967,6738.464266510388,8926.786313107139,7051.743779475268,5788.473791058541,11585.634101515188,4490.25,5302.846548167317,4777.4971478184825,3310.574714900953,7205.507969058381,10055.632032327409,4631.034869879113,6071.25,3807.1151845595923,4768.917724019605,3767.75,5421.323702384096
2012-01-01,7195.882628371516,8127.873114320516,4170.184150932093,9466.25,21923.054246089832,8867.590464867795,8584.706620020164,5912.167414560268,7616.49977652609,12061.308145559957,8524.145038276245,11666.68393989269,8997.8222738482,7441.513336942772,14655.602567882965,5831.0,6857.581156114788,6337.145135422988,4312.440040880954,9107.531504688393,12871.125737789698,6036.074415793477,7755.75,4822.292221748283,6309.4687390076215,4849.75,7023.62961585967
2013-01-01,9070.290736001494,10142.561406484925,5331.25,12586.25,27775.5,11223.914796185978,10871.393935202952,7589.597103923167,9577.19603322154,15203.656604119235,10466.419044653636,14698.695121551096,11390.03745554016,9495.914951166691,19077.5,7193.75,8680.243501301164,8030.321636815114,5465.046889315294,11592.0,16254.5,7642.953977296729,9825.5,5968.920208385409,8032.252489646948,7222.25,8884.130461881326
2014-01-01,12020.400769147996,13327.267984796978,6905.75,17693.75,37290.25,14796.646208014488,14401.296402072981,9931.999164479515,12521.60728823806,20319.15664385204,13496.293539186558,19510.854078783967,14696.370173974912,12498.731744737415,24773.75,9020.75,11553.148686426874,10823.281702105907,6933.814971347198,15289.5,21688.5,10243.879266899114,13030.25,7863.921408192748,10723.530227698862,8871.75,11761.925456688154
